t x v E
 26.4 0.239699 -0.0721528 0.0626618
 26.6 0.224246 -0.0822146 0.0570456
 26.8 0.206881 -0.0912638 0.0511288
 27 0.187813 -0.0992309 0.0451205
 27.2 0.167265 -0.106059 0.0392259
 27.4 0.145469 -0.111702 0.0336385
 27.6 0.122665 -0.116129 0.0285326
 27.8 0.0990995 -0.119319 0.0240577
 28 0.0750203 -0.121266 0.0203334
 28.2 0.0506758 -0.121974 0.0174458
 28.4 0.0263121 -0.121462 0.0154454
 28.6 0.00217044 -0.119759 0.0143469
 28.8 -0.0215146 -0.116904 0.0141295
 29 -0.0445179 -0.11295 0.0147395
 29.2 -0.0666252 -0.107956 0.0160935
 29.4 -0.0876357 -0.101994 0.0180827
 29.6 -0.107363 -0.0951403 0.0205786
 29.8 -0.125638 -0.0874814 0.0234379
 30 -0.142308 -0.0791088 0.0265098
 30.2 -0.15724 -0.0701194 0.0296413
 30.4 -0.170322 -0.0606143 0.0326835
 30.6 -0.181459 -0.0506978 0.0354975
 30.8 -0.19058 -0.0404761 0.0379592
 31 -0.197636 -0.0300565 0.0399634
 31.2 -0.202597 -0.0195458 0.0414275
 31.4 -0.205455 -0.00904994 0.0422938
 31.6 -0.206225 0.00132765 0.0425304
 31.8 -0.204939 0.0114866 0.0421319
 32 -0.201651 0.0213308 0.0411182
 32.2001 -0.196434 0.030769 0.0395329
 32.4001 -0.189376 0.039716 0.0374407
 32.6001 -0.180585 0.0480929 0.034924
 32.8001 -0.170182 0.0558282 0.0320787
 33.0001 -0.158301 0.062858 0.0290104
 33.2001 -0.14509 0.0691269 0.0258295
 33.4001 -0.130704 0.0745877 0.0226469
 33.6001 -0.115311 0.0792026 0.0195697
 33.8001 -0.0990816 0.0829426 0.0166966
 34.0001 -0.0821935 0.085788 0.0141154
 34.2001 -0.0648268 0.0877285 0.0118988
 34.4001 -0.0471626 0.0887627 0.0101031
 34.6001 -0.0293817 0.0888983 0.00876619
 34.8001 -0.0116621 0.0881518 0.00790675
 35.0001 0.00582188 0.0865481 0.00752447
 35.2001 0.0229021 0.0841199 0.00760067
 35.4001 0.0394175 0.0809077 0.0080998
 35.6001 0.055216 0.0769588 0.00897146
 35.8001 0.0701555 0.0723267 0.0101529
