t x v E
 26.8 0.372964 -0.193558 0.176567
 27 0.334252 -0.208335 0.155128
 27.2 0.292585 -0.220881 0.134395
 27.4 0.248409 -0.231093 0.115111
 27.6 0.20219 -0.238892 0.0979502
 27.8 0.154412 -0.244223 0.0834882
 28 0.105567 -0.247059 0.0721829
 28.2 0.0561556 -0.247397 0.0643586
 28.4 0.00667626 -0.245257 0.0601953
 28.6 -0.042375 -0.240685 0.059725
 28.8 -0.0905121 -0.233753 0.0628328
 29 -0.137263 -0.224552 0.0692647
 29.2 -0.182173 -0.213198 0.0786404
 29.4 -0.224813 -0.199825 0.0904709
 29.6 -0.264778 -0.184588 0.10418
 29.8 -0.301695 -0.167657 0.119129
 30 -0.335227 -0.14922 0.134643
 30.2 -0.365071 -0.129474 0.15004
 30.4 -0.390965 -0.108631 0.164655
 30.6 -0.412692 -0.0869099 0.177868
 30.8 -0.430074 -0.0645371 0.189128
 31 -0.442981 -0.0417427 0.197975
 31.2 -0.45133 -0.0187588 0.20405
 31.4 -0.455081 0.00418285 0.207117
 31.6 -0.454245 0.0268533 0.207059
 31.8 -0.448874 0.0490284 0.203892
 32 -0.439068 0.0704916 0.19775
 32.2001 -0.42497 0.0910352 0.188887
 32.4001 -0.406763 0.110463 0.177658
 32.6001 -0.384671 0.128592 0.164507
 32.8001 -0.358952 0.145254 0.149945
 33.0001 -0.329901 0.160296 0.13453
 33.2001 -0.297842 0.173585 0.118842
 33.4001 -0.263125 0.185006 0.103462
 33.6001 -0.226124 0.194462 0.0889475
 33.8001 -0.187232 0.201879 0.0758107
 34.0001 -0.146856 0.207203 0.0644997
 34.2001 -0.105415 0.210402 0.0553812
 34.4001 -0.0633351 0.211464 0.0487285
 34.6001 -0.0210422 0.210402 0.0447117
 34.8001 0.0210381 0.207246 0.0433934
 35.0001 0.0624873 0.202049 0.0447285
 35.2001 0.102897 0.194884 0.0485674
 35.4001 0.141874 0.185841 0.0546651
 35.6001 0.179042 0.175031 0.0626918
 35.8001 0.214048 0.162578 0.0722482
 36.0001 0.246564 0.148624 0.0828828
 36.2001 0.276289 0.133323 0.0941105
 36.4001 0.302953 0.116842 0.105433
 36.6001 0.326322 0.0993579 0.116358
 36.8001 0.346193 0.0810546 0.12642
 37.0001 0.362404 0.0621239 0.135196
 37.2001 0.374829 0.0427612 0.142325
 37.4001 0.383381 0.0231645 0.147518
 37.6001 0.388014 0.00353217 0.150567
 37.8001 0.38872 -0.0159392 0.151358
 38.0001 0.385533 -0.0350564 0.149864
 38.2001 0.378521 -0.0536319 0.146155
 38.4001 0.367795 -0.0714854 0.140383
 38.6001 0.353498 -0.0884454 0.132783
 38.8001 0.335809 -0.104351 0.123657
 39.0001 0.314939 -0.119055 0.11336
 39.2001 0.291128 -0.132421 0.10229
 39.4001 0.264643 -0.144329 0.0908669
 39.6001 0.235778 -0.154674 0.0795152
 39.8001 0.204843 -0.16337 0.0686502
 40.0001 0.172169 -0.170344 0.0586593
 40.2001 0.1381 -0.175546 0.049888
 40.4001 0.102991 -0.17894 0.0426266
 40.6001 0.0672029 -0.180511 0.0371004
 40.8001 0.0311008 -0.180261 0.0334612
 41.0001 -0.00495135 -0.17821 0.0317835
 41.2001 -0.0405935 -0.174399 0.0320627
 41.4001 -0.0754732 -0.168881 0.034217
 41.6001 -0.109249 -0.16173 0.038092
 41.8001 -0.141595 -0.153033 0.0434683
 42.0001 -0.172202 -0.142892 0.0500717
 42.2001 -0.20078 -0.131424 0.0575851
 42.4001 -0.227065 -0.118757 0.0656618
 42.6001 -0.250817 -0.105028 0.07394
 42.8001 -0.271822 -0.0903871 0.0820572
 43.0001 -0.2899 -0.0749882 0.0896651
 43.2001 -0.304897 -0.0589935 0.0964426
 43.4001 -0.316696 -0.0425687 0.102108
 43.6001 -0.32521 -0.0258825 0.106431
 43.8001 -0.330386 -0.0091044 0.109238
 44.0001 -0.332207 0.007597 0.110419
 44.2001 -0.330688 0.0240554 0.109933
 44.4001 -0.325877 0.0401087 0.107804
 44.6001 -0.317855 0.0556004 0.104123
 44.8001 -0.306735 0.0703811 0.0990398
 45.0001 -0.292659 0.0843102 0.0927573
 45.2001 -0.275797 0.097257 0.0855227
 45.4001 -0.256345 0.109102 0.077616
 45.6001 -0.234525 0.119737 0.0693388
 45.8001 -0.210578 0.129068 0.0610015
 46.0001 -0.184764 0.137016 0.052911
 46.2001 -0.157361 0.143514 0.0453586
 46.4001 -0.128658 0.148512 0.0386085
 46.6001 -0.0989556 0.151974 0.0328884
 46.8001 -0.0685608 0.153882 0.0283804
 47.0001 -0.0377843 0.154233 0.0252154
 47.2001 -0.0069377 0.153037 0.0234686
 47.4001 0.0236698 0.150324 0.0231574
 47.6001 0.0537345 0.146134 0.0242424
 47.8001 0.0829612 0.140524 0.0266296
 48.0001 0.111066 0.133566 0.0301755
 48.2001 0.137779 0.125341 0.0346935
 48.4001 0.162847 0.115945 0.0399626
 48.6001 0.186036 0.105484 0.0457364
 48.8001 0.207133 0.0940725 0.0517538
 49.0001 0.225948 0.0818344 0.0577492
 49.2001 0.242315 0.0689003 0.0634636
 49.4001 0.256095 0.0554066 0.0686544
 49.6001 0.267176 0.0414937 0.0731047
 49.8001 0.275475 0.027305 0.0766319
 50.0001 0.280936 0.0129852 0.0790935
 50.2001 0.283533 -0.0013213 0.0803926
 50.4001 0.283268 -0.0154715 0.0804804
 50.6001 0.280174 -0.0293255 0.0793575
 50.8001 0.274309 -0.0427477 0.0770728
 51.0001 0.26576 -0.0556082 0.0737204
 51.2001 0.254638 -0.067784 0.0694351
 51.4001 0.241081 -0.0791602 0.0643864
 51.6001 0.225249 -0.0896311 0.0587709
 51.8001 0.207323 -0.0991009 0.0528037
 52.0001 0.187503 -0.107485 0.0467103
 52.2001 0.166006 -0.11471 0.0407164
 52.4001 0.143064 -0.120717 0.0350397
 52.6001 0.11892 -0.125455 0.0298811
 52.8001 0.0938291 -0.128892 0.0254171
 53.0001 0.0680507 -0.131006 0.0217934
 53.2001 0.0418495 -0.131788 0.0191195
 53.4001 0.0154918 -0.131245 0.0174653
 53.6001 -0.0107572 -0.129395 0.0168587
 53.8001 -0.0366361 -0.126269 0.0172861
 54.0001 -0.0618899 -0.121912 0.0186928
 54.2001 -0.0862723 -0.116379 0.020987
 54.4001 -0.109548 -0.109738 0.0240432
 54.6001 -0.131496 -0.102066 0.0277085
 54.8001 -0.151909 -0.0934496 0.0318091
 55.0001 -0.170599 -0.0839852 0.0361574
 55.2001 -0.187396 -0.0737755 0.04056
 55.4001 -0.202151 -0.0629302 0.0448252
 55.6001 -0.214737 -0.0515641 0.0487708
 55.8001 -0.22505 -0.039796 0.0522311
 56.0001 -0.233009 -0.0277476 0.0550631
 56.2001 -0.238558 -0.0155422 0.0571517
 56.4001 -0.241667 -0.0033034 0.0584138
 56.6001 -0.242327 0.00884601 0.0588009
 56.8001 -0.240558 0.0207855 0.0583003
 57.0001 -0.236401 0.0323977 0.0569351
 57.2001 -0.229922 0.0435698 0.0547623
 57.4001 -0.221208 0.0541945 0.0518699
 57.6001 -0.210369 0.064171 0.0483729
 57.8001 -0.197535 0.073406 0.0444084
 58.0001 -0.182853 0.0818146 0.040129
 58.2001 -0.16649 0.089321 0.0356973
 58.4002 -0.148626 0.0958591 0.0312787
 58.6002 -0.129454 0.101373 0.027035
 58.8002 -0.10918 0.105818 0.0231178
 59.0002 -0.0880161 0.109161 0.019663
 59.2002 -0.0661839 0.111379 0.0167855
 59.4002 -0.0439082 0.11246 0.0145752
 59.6002 -0.0214161 0.112407 0.0130939
 59.8002 0.00106518 0.111229 0.0123731
 60.0002 0.023311 0.108951 0.0124138
 60.2002 0.0451013 0.105607 0.0131869
 60.4002 0.0662226 0.10124 0.0146349
 60.6002 0.0864705 0.0959036 0.0166747
 60.8002 0.105651 0.089662 0.0192015
 61.0002 0.123584 0.0825862 0.0220934
 61.2002 0.140101 0.0747553 0.0252166
